name;term;party;city;birth_year
Abdullah ÇALIÞKAN;22;AK PARTÝ;ADANA;1958.0
Abdullah TORUN;22;AK PARTÝ;ADANA;1968.0
Ali KÜÇÜKAYDIN;22;AK PARTÝ;ADANA;1948
Atilla BAÞOÐLU;22;AK PARTÝ;ADANA;1954.0
Ayhan Zeynep TEKÝN BÖRÜ;22;AK PARTÝ;ADANA;1950.0
Kemal SAÐ;22;CHP;ADANA;1955.0
Mehmet Ziya YERGÖK;22;CHP;ADANA;1951.0
Nevingaye ERBATUR;22;CHP;ADANA;1950
Ömer ÇELÝK;22;AK PARTÝ;ADANA;1968.0
Recep GARÝP;22;AK PARTÝ;ADANA;1956.0
Tacidar SEYHAN;22;CHP;ADANA;1959
Uður AKSÖZ;22;CHP;ADANA;1948.0
Vahit KÝRÝÞCÝ;22;AK PARTÝ;ADANA;1960.0
Ziyattin YAÐCI;22;AK PARTÝ;ADANA;1945
Ahmet Faruk ÜNSAL;22;AK PARTÝ;ADIYAMAN;1963.0
Fehmi Hüsrev KUTLU;22;AK PARTÝ;ADIYAMAN;1961
Mahmut GÖKSU;22;AK PARTÝ;ADIYAMAN;1959
Mehmet ÖZYOL;22;AK PARTÝ;ADIYAMAN;1937
Þevket GÜRSOY;22;AK PARTÝ;ADIYAMAN;1953
Ahmet KOCA;22;AK PARTÝ;AFYONKARAHÝSAR;1963
Halil AYDOÐAN;22;AK PARTÝ;AFYONKARAHÝSAR;1950.0
Halil ÜNLÜTEPE;22;CHP;AFYONKARAHÝSAR;1949
Ýbrahim Hakký AÞKAR;22;BAÐIMSIZ;AFYONKARAHÝSAR;1965.0
Mahmut KOÇAK;22;ANAP;AFYONKARAHÝSAR;1964.0
Reyhan TUGAY;22;ANAP;AFYONKARAHÝSAR;1969.0
Sait AÇBA;22;AK PARTÝ;AFYONKARAHÝSAR;1950.0
Cemal KAYA;22;AK PARTÝ;AÐRI;1962.0
Halil ÖZYOLCU;22;AK PARTÝ;AÐRI;1971.0
Mehmet Kerim YILDIZ;22;AK PARTÝ;AÐRI;1965
Mehmet Melik ÖZMEN;22;AK PARTÝ;AÐRI;1966.0
Naci ASLAN;22;AK PARTÝ;AÐRI;1946
Ahmet YAÞAR;22;AK PARTÝ;AKSARAY;1950.0
Ali Rýza ALABOYUN;22;AK PARTÝ;AKSARAY;1957.0
