name;term;party;city;birth_year
Aydýn USLUPEHLÝVAN;26;CHP;ADANA;1954.0
Elif Doðan TÜRKMEN;26;CHP;ADANA;1962.0
Fatma Güldemet SARI;26;AK PARTÝ;ADANA;1970.0
Ýbrahim ÖZDÝÞ;26;CHP;ADANA;1956.0
Mehmet Þükrü ERDÝNÇ;26;AK PARTÝ;ADANA;1976
Meral DANIÞ BEÞTAÞ;26;HDP;ADANA;1967.0
Mevlüt KARAKAYA;26;MHP;ADANA;1963.0
Muharrem VARLI;26;MHP;ADANA;1969.0
Necdet ÜNÜVAR;26;AK PARTÝ;ADANA;1960
Ömer ÇELÝK;26;AK PARTÝ;ADANA;1968.0
Seyfettin YILMAZ;26;MHP;ADANA;1968.0
Talip KÜÇÜKCAN;26;AK PARTÝ;ADANA;1963.0
Tamer DAÐLI;26;AK PARTÝ;ADANA;1970.0
Zülfikar Ýnönü TÜMER;26;CHP;ADANA;1966.0
Adnan BOYNUKARA;26;AK PARTÝ;ADIYAMAN;1964.0
Ahmet AYDIN;26;AK PARTÝ;ADIYAMAN;1971
Behçet YILDIRIM;26;HDP;ADIYAMAN;1959.0
Ýbrahim Halil FIRAT;26;AK PARTÝ;ADIYAMAN;1973.0
Salih FIRAT;26;AK PARTÝ;ADIYAMAN;1960.0
Ali ÖZKAYA;26;AK PARTÝ;AFYONKARAHÝSAR;1970.0
Burcu KÖKSAL;26;CHP;AFYONKARAHÝSAR;1980.0
Hatice Dudu ÖZKAL;26;AK PARTÝ;AFYONKARAHÝSAR;1966.0
Mehmet PARSAK;26;MHP;AFYONKARAHÝSAR;1979.0
Veysel EROÐLU;26;AK PARTÝ;AFYONKARAHÝSAR;1948.0
Berdan ÖZTÜRK;26;HDP;AÐRI;1980.0
Cesim GÖKÇE;26;AK PARTÝ;AÐRI;1968.0
Dirayet Dilan TAÞDEMÝR;26;HDP;AÐRI;1982
Leyla ZANA;26;HDP;AÐRI;1961.0
Cengiz AYDOÐDU;26;AK PARTÝ;AKSARAY;1958
Ýlknur ÝNCEÖZ;26;AK PARTÝ;AKSARAY;1973.0
Mustafa SERDENGEÇTÝ;26;AK PARTÝ;AKSARAY;1968.0
Haluk ÝPEK;26;AK PARTÝ;AMASYA;1963.0
Mehmet Naci BOSTANCI;26;AK PARTÝ;AMASYA;1957.0
Mustafa TUNCER;26;CHP;AMASYA;1971.0
Ahmet ÝYÝMAYA;26;AK PARTÝ;ANKARA;1950.0
Ahmet GÜNDOÐDU;26;AK PARTÝ;ANKARA;1961.0
Ahmet Haluk KOÇ;26;CHP;ANKARA;1954.0
Ali BABACAN;26;AK PARTÝ;ANKARA;1967.0
Ali Haydar HAKVERDÝ;26;CHP;ANKARA;1979.0
Ali Ýhsan ARSLAN;26;AK PARTÝ;ANKARA;1969
Aydýn ÜNAL;26;AK PARTÝ;ANKARA;1970.0
Aylin NAZLIAKA;26;BAÐIMSIZ;ANKARA;1968.0
Ayþe Gülsün BÝLGEHAN;26;CHP;ANKARA;1957.0
Bülent KUÞOÐLU;26;CHP;ANKARA;1958
Cemil ÇÝÇEK;26;AK PARTÝ;ANKARA;1946.0
Emrullah ÝÞLER;26;AK PARTÝ;ANKARA;1960.0
Erkan HABERAL;26;MHP;ANKARA;1972
Ertan AYDIN;26;AK PARTÝ;ANKARA;1971.0
