name;term;party;city;birth_year
Aydýn USLUPEHLÝVAN;25;CHP;ADANA;1954.0
Elif Doðan TÜRKMEN;25;CHP;ADANA;1962.0
Fatma Güldemet SARI;25;AK PARTÝ;ADANA;1970.0
Ýbrahim ÖZDÝÞ;25;CHP;ADANA;1956.0
Mehmet Þükrü ERDÝNÇ;25;AK PARTÝ;ADANA;1976
Meral DANIÞ BEÞTAÞ;25;HDP;ADANA;1967.0
Mevlüt KARAKAYA;25;MHP;ADANA;1963.0
Muharrem VARLI;25;MHP;ADANA;1969.0
Necdet ÜNÜVAR;25;AK PARTÝ;ADANA;1960
Rýdvan TURAN;25;HDP;ADANA;1971.0
Sadullah KISACIK;25;AK PARTÝ;ADANA;1977.0
Seyfettin YILMAZ;25;MHP;ADANA;1968.0
Talip KÜÇÜKCAN;25;AK PARTÝ;ADANA;1963.0
Zülfikar Ýnönü TÜMER;25;CHP;ADANA;1966.0
Adnan BOYNUKARA;25;AK PARTÝ;ADIYAMAN;1964.0
Ahmet AYDIN;25;AK PARTÝ;ADIYAMAN;1971
Behçet YILDIRIM;25;HDP;ADIYAMAN;1959.0
Ýbrahim Halil FIRAT;25;AK PARTÝ;ADIYAMAN;1973.0
Salih FIRAT;25;AK PARTÝ;ADIYAMAN;1960.0
Ali ÖZKAYA;25;AK PARTÝ;AFYONKARAHÝSAR;1970.0
Burcu KÖKSAL;25;CHP;AFYONKARAHÝSAR;1980.0
Halil ÜRÜN;25;AK PARTÝ;AFYONKARAHÝSAR;1968.0
Mehmet PARSAK;25;MHP;AFYONKARAHÝSAR;1979.0
Remziye SIVACI;25;AK PARTÝ;AFYONKARAHÝSAR;1965.0
Berdan ÖZTÜRK;25;HDP;AÐRI;1980.0
Dirayet Dilan TAÞDEMÝR;25;HDP;AÐRI;1982
Leyla ZANA;25;HDP;AÐRI;1961.0
Mehmet Emin ÝLHAN;25;HDP;AÐRI;1979.0
Ýlknur ÝNCEÖZ;25;AK PARTÝ;AKSARAY;1973.0
Nevzat PALTA;25;AK PARTÝ;AKSARAY;1962.0
Turan YALDIR;25;MHP;AKSARAY;1984
Mehmet Naci BOSTANCI;25;AK PARTÝ;AMASYA;1957.0
Mustafa TUNCER;25;CHP;AMASYA;1971.0
Said YÜCE;25;AK PARTÝ;AMASYA;1963.0
Ahmet ÝYÝMAYA;25;AK PARTÝ;ANKARA;1950.0
Ahmet GÜNDOÐDU;25;AK PARTÝ;ANKARA;1961.0
Ahmet Haluk KOÇ;25;CHP;ANKARA;1954.0
Ali Haydar HAKVERDÝ;25;CHP;ANKARA;1979.0
Ali Ýhsan ARSLAN;25;AK PARTÝ;ANKARA;1969
Aydýn ÜNAL;25;AK PARTÝ;ANKARA;1970.0
Ayhan YILMAZ;25;AK PARTÝ;ANKARA;1961.0
Aylin NAZLIAKA;25;CHP;ANKARA;1968.0
Ayþe Gülsün BÝLGEHAN;25;CHP;ANKARA;1957.0
Bülent KUÞOÐLU;25;CHP;ANKARA;1958
Emrullah ÝÞLER;25;AK PARTÝ;ANKARA;1960.0
Ertan AYDIN;25;AK PARTÝ;ANKARA;1971.0
Jülide SARIEROÐLU;25;AK PARTÝ;ANKARA;1979.0
Levent GÖK;25;CHP;ANKARA;1959.0
Lütfiye Selva ÇAM;25;AK PARTÝ;ANKARA;1970.0
Mahmut Sami MALLI;25;AK PARTÝ;ANKARA;1985.0
Murat ALPARSLAN;25;AK PARTÝ;ANKARA;1974.0
Murat EMÝR;25;CHP;ANKARA;1969.0
Mustafa MÝT;25;MHP;ANKARA;1950.0
Mustafa ERDEM;25;MHP;ANKARA;1957.0
Necati YILMAZ;25;CHP;ANKARA;1964
Nevzat CEYLAN;25;AK PARTÝ;ANKARA;1953.0
Nihat YEÞÝL;25;CHP;ANKARA;1957.0
Sýrrý Süreyya ÖNDER;25;HDP;ANKARA;1962.0
Þefkat ÇETÝN;25;MHP;ANKARA;1954.0
Þenal SARIHAN;25;CHP;ANKARA;1948.0
Tekin BÝNGÖL;25;CHP;ANKARA;1955.0
Tülay SELAMOÐLU;25;AK PARTÝ;ANKARA;1966.0
Vedat BÝLGÝN;25;AK PARTÝ;ANKARA;1954.0
Yalçýn AKDOÐAN;25;AK PARTÝ;ANKARA;1969.0
Yýldýrým Tuðrul TÜRKEÞ;25;BAÐIMSIZ;ANKARA;1954
Zühal TOPCU;25;MHP;ANKARA;1960.0
