name;term;party;city;birth_year
Ali KÜÇÜKAYDIN;24;AK PARTÝ;ADANA;1948
Ali HALAMAN;24;MHP;ADANA;1954.0
Ali DEMÝRÇALI;24;CHP;ADANA;1965.0
Fatoþ GÜRKAN;24;AK PARTÝ;ADANA;1966
Mehmet Necati ÇETÝNKAYA;24;AK PARTÝ;ADANA;1943.0
Mehmet Þükrü ERDÝNÇ;24;AK PARTÝ;ADANA;1976
Muharrem VARLI;24;MHP;ADANA;1969.0
Murat BOZLAK;24;HDP;ADANA;1952.0
Necdet ÜNÜVAR;24;AK PARTÝ;ADANA;1960
Osman Faruk LOÐOÐLU;24;CHP;ADANA;1941.0
Ömer ÇELÝK;24;AK PARTÝ;ADANA;1968.0
Seyfettin YILMAZ;24;MHP;ADANA;1968.0
Turgay DEVELÝ;24;CHP;ADANA;1962
Ümit ÖZGÜMÜÞ;24;CHP;ADANA;1956.0
Ahmet AYDIN;24;AK PARTÝ;ADIYAMAN;1971
Mehmet ERDOÐAN;24;AK PARTÝ;ADIYAMAN;1964.0
Mehmet METÝNER;24;AK PARTÝ;ADIYAMAN;1960.0
Muhammed Murtaza YETÝÞ;24;AK PARTÝ;ADIYAMAN;1972.0
Salih FIRAT;24;AK PARTÝ;ADIYAMAN;1960.0
Ahmet TOPTAÞ;24;CHP;AFYONKARAHÝSAR;1949.0
Halil ÜRÜN;24;AK PARTÝ;AFYONKARAHÝSAR;1968.0
Kemalettin YILMAZ;24;MHP;AFYONKARAHÝSAR;1956.0
Sait AÇBA;24;AK PARTÝ;AFYONKARAHÝSAR;1950.0
Veysel EROÐLU;24;AK PARTÝ;AFYONKARAHÝSAR;1948.0
Ekrem ÇELEBÝ;24;AK PARTÝ;AÐRI;1965.0
Fatma SALMAN;24;AK PARTÝ;AÐRI;1970.0
Halil AKSOY;24;HDP;AÐRI;1948.0
Mehmet Kerim YILDIZ;24;AK PARTÝ;AÐRI;1965
Ali Rýza ALABOYUN;24;AK PARTÝ;AKSARAY;1957.0
Ýlknur ÝNCEÖZ;24;AK PARTÝ;AKSARAY;1973.0
Ruhi AÇIKGÖZ;24;AK PARTÝ;AKSARAY;1963.0
Avni ERDEMÝR;24;AK PARTÝ;AMASYA;1964.0
Mehmet Naci BOSTANCI;24;AK PARTÝ;AMASYA;1957.0
Ramis TOPAL;24;CHP;AMASYA;1960.0
Ahmet ÝYÝMAYA;24;AK PARTÝ;ANKARA;1950.0
Ali BABACAN;24;AK PARTÝ;ANKARA;1967.0
Aylin NAZLIAKA;24;CHP;ANKARA;1968.0
Ayþe Gülsün BÝLGEHAN;24;CHP;ANKARA;1957.0
Bülent GEDÝKLÝ;24;AK PARTÝ;ANKARA;1964
Bülent KUÞOÐLU;24;CHP;ANKARA;1958
Cemil ÇÝÇEK;24;AK PARTÝ;ANKARA;1946.0
Cevdet ERDÖL;24;AK PARTÝ;ANKARA;1958
Emine Ülker TARHAN;24;ANAPARTÝ;ANKARA;1963.0
Emrullah ÝÞLER;24;AK PARTÝ;ANKARA;1960.0
Fatih ÞAHÝN;24;AK PARTÝ;ANKARA;1979
Gökhan GÜNAYDIN;24;CHP;ANKARA;1964
Haluk ÝPEK;24;AK PARTÝ;ANKARA;1963.0
Ýzzet ÇETÝN;24;CHP;ANKARA;1953.0
Levent GÖK;24;CHP;ANKARA;1959.0
Mehmet Emrehan HALICI;24;E-PARTÝ;ANKARA;1956.0
Mustafa ERDEM;24;MHP;ANKARA;1957.0
Nazmi Haluk ÖZDALGA;24;BAÐIMSIZ;ANKARA;1948
Nurdan ÞANLI;24;AK PARTÝ;ANKARA;1954.0
Özcan YENÝÇERÝ;24;MHP;ANKARA;1954
