name;term;party;city;birth_year
Ali KÜÇÜKAYDIN;23;AK PARTÝ;ADANA;1948
Dengir Mir Mehmet FIRAT;23;AK PARTÝ;ADANA;1943.0
Fatoþ GÜRKAN;23;AK PARTÝ;ADANA;1966
Hulusi GÜVEL;23;CHP;ADANA;1948.0
Kürþat ATILGAN;23;MHP;ADANA;1956.0
Muharrem VARLI;23;MHP;ADANA;1969.0
Mustafa VURAL;23;DSP;ADANA;1953
Necdet ÜNÜVAR;23;AK PARTÝ;ADANA;1960
Nevingaye ERBATUR;23;CHP;ADANA;1950
Ömer ÇELÝK;23;AK PARTÝ;ADANA;1968.0
Recai YILDIRIM;23;MHP;ADANA;1950
Tacidar SEYHAN;23;CHP;ADANA;1959
Vahit KÝRÝÞCÝ;23;AK PARTÝ;ADANA;1960.0
Yýlmaz TANKUT;23;MHP;ADANA;1959.0
Ahmet AYDIN;23;AK PARTÝ;ADIYAMAN;1971
Fehmi Hüsrev KUTLU;23;AK PARTÝ;ADIYAMAN;1961
Mehmet ERDOÐAN;23;AK PARTÝ;ADIYAMAN;1956.0
Þevket KÖSE;23;CHP;ADIYAMAN;1953.0
Þevket GÜRSOY;23;AK PARTÝ;ADIYAMAN;1953
Abdülkadir AKCAN;23;MHP;AFYONKARAHÝSAR;1952.0
Ahmet KOCA;23;AK PARTÝ;AFYONKARAHÝSAR;1963
Halil AYDOÐAN;23;AK PARTÝ;AFYONKARAHÝSAR;1950.0
Halil ÜNLÜTEPE;23;CHP;AFYONKARAHÝSAR;1949
Sait AÇBA;23;AK PARTÝ;AFYONKARAHÝSAR;1950.0
Veysel EROÐLU;23;AK PARTÝ;AFYONKARAHÝSAR;1948.0
Zekeriya ASLAN;23;AK PARTÝ;AFYONKARAHÝSAR;1969.0
Abdulkerim AYDEMÝR;23;AK PARTÝ;AÐRI;1954.0
Cemal KAYA;23;AK PARTÝ;AÐRI;1962.0
Fatma SALMAN;23;AK PARTÝ;AÐRI;1970.0
Mehmet Hanifi ALIR;23;AK PARTÝ;AÐRI;1959.0
Yaþar ERYILMAZ;23;AK PARTÝ;AÐRI;1944.0
Ali Rýza ALABOYUN;23;AK PARTÝ;AKSARAY;1957.0
Ýlknur ÝNCEÖZ;23;AK PARTÝ;AKSARAY;1973.0
Osman ERTUÐRUL;23;MHP;AKSARAY;1956
Ruhi AÇIKGÖZ;23;AK PARTÝ;AKSARAY;1963.0
Akif GÜLLE;23;AK PARTÝ;AMASYA;1958.0
Avni ERDEMÝR;23;AK PARTÝ;AMASYA;1964.0
Hüseyin ÜNSAL;23;CHP;AMASYA;1957.0
Ahmet ÝYÝMAYA;23;AK PARTÝ;ANKARA;1950.0
Ahmet Deniz BÖLÜKBAÞI;23;MHP;ANKARA;1949.0
Ali BABACAN;23;AK PARTÝ;ANKARA;1967.0
Aþkýn ASAN;23;AK PARTÝ;ANKARA;1965.0
Bekir AKSOY;23;MHP;ANKARA;1950.0
Beþir ATALAY;23;AK PARTÝ;ANKARA;1947.0
Burhan KAYATÜRK;23;AK PARTÝ;ANKARA;1970
Bülent GEDÝKLÝ;23;AK PARTÝ;ANKARA;1964
Cemil ÇÝÇEK;23;AK PARTÝ;ANKARA;1946.0
Eþref ERDEM;23;BAÐIMSIZ;ANKARA;1941.0
Faruk KOCA;23;AK PARTÝ;ANKARA;1964
Hakký Suha OKAY;23;CHP;ANKARA;1953.0
Haluk ÝPEK;23;AK PARTÝ;ANKARA;1963.0
Mehmet Emrehan HALICI;23;CHP;ANKARA;1956.0
Mehmet Zafer ÇAÐLAYAN;23;AK PARTÝ;ANKARA;1957.0
Mehmet Zekai ÖZCAN;23;MHP;ANKARA;1950.0
Mustafa Cihan PAÇACI;23;MHP;ANKARA;1949.0
Mustafa Said YAZICIOÐLU;23;AK PARTÝ;ANKARA;1949
Mücahit PEHLÝVAN;23;AK PARTÝ;ANKARA;1963
Nazmi Haluk ÖZDALGA;23;AK PARTÝ;ANKARA;1948
Nesrin BAYTOK;23;CHP;ANKARA;1960.0
Önder SAV;23;CHP;ANKARA;1937.0
Reha DENEMEÇ;23;AK PARTÝ;ANKARA;1961
Salih KAPUSUZ;23;AK PARTÝ;ANKARA;1954.0
Tekin BÝNGÖL;23;CHP;ANKARA;1955.0
Yýldýrým Tuðrul TÜRKEÞ;23;MHP;ANKARA;1954
Yýlmaz ATEÞ;23;CHP;ANKARA;1953.0
Zekeriya AKINCI;23;CHP;ANKARA;1957.0
Zeynep DAÐI;23;AK PARTÝ;ANKARA;1964.0
Abdurrahman ARICI;23;AK PARTÝ;ANTALYA;1951.0
Atila EMEK;23;CHP;ANTALYA;1947
Deniz BAYKAL;23;CHP;ANTALYA;1938.0
Hüseyin YILDIZ;23;MHP;ANTALYA;1959.0
Hüsnü ÇÖLLÜ;23;CHP;ANTALYA;1960.0
Mehmet GÜNAL;23;MHP;ANTALYA;1964.0
Mehmet Ali ÞAHÝN;23;AK PARTÝ;ANTALYA;1950.0
Mevlüt ÇAVUÞOÐLU;23;AK PARTÝ;ANTALYA;1968.0
Osman KAPTAN;23;CHP;ANTALYA;1946.0
Sadýk BADAK;23;AK PARTÝ;ANTALYA;1955.0
Tayfur SÜNER;23;CHP;ANTALYA;1943.0
Tunca TOSKAY;23;MHP;ANTALYA;1939.0
Yusuf Ziya ÝRBEÇ;23;MHP;ANTALYA;1959.0
Ensar ÖÐÜT;23;CHP;ARDAHAN;1946.0
Saffet KAYA;23;AK PARTÝ;ARDAHAN;1962
Ertekin ÇOLAK;23;AK PARTÝ;ARTVÝN;1964.0
Metin ARÝFAÐAOÐLU;23;CHP;ARTVÝN;1946
Ahmet ERTÜRK;23;AK PARTÝ;AYDIN;1953.0
Ali UZUNIRMAK;23;MHP;AYDIN;1958.0
Atilla KOÇ;23;AK PARTÝ;AYDIN;1946.0
Ertuðrul KUMCUOÐLU;23;MHP;AYDIN;1938.0
Mehmet ERDEM;23;AK PARTÝ;AYDIN;1966.0
Mehmet Fatih ATAY;23;CHP;AYDIN;1957.0
Özlem ÇERÇÝOÐLU;23;CHP;AYDIN;1968.0
Recep TANER;23;MHP;AYDIN;1957.0
Ahmet Duran BULUT;23;MHP;BALIKESÝR;1953.0
Ahmet Edip UÐUR;23;AK PARTÝ;BALIKESÝR;1950.0
Ali Osman SALÝ;23;AK PARTÝ;BALIKESÝR;1959
Ayþe AKBAÞ;23;AK PARTÝ;BALIKESÝR;1971.0
Ergün AYDOÐAN;23;CHP;BALIKESÝR;1964
Hüseyin PAZARCI;23;CHP;BALIKESÝR;1944
Ýsmail ÖZGÜN;23;AK PARTÝ;BALIKESÝR;1956.0
Mehmet Cemal ÖZTAYLAN;23;AK PARTÝ;BALIKESÝR;1954.0
Muhammet Rýza YALÇINKAYA;23;CHP;BARTIN;1955.0
Yýlmaz TUNÇ;23;AK PARTÝ;BARTIN;1971
Ahmet ÝNAL;23;AK PARTÝ;BATMAN;1954.0
Ayla AKAT ATA;23;BAÐIMSIZ;BATMAN;1976.0
Bengi YILDIZ;23;BAÐIMSIZ;BATMAN;1965.0
Mehmet Emin EKMEN;23;AK PARTÝ;BATMAN;1975.0
Fetani BATTAL;23;AK PARTÝ;BAYBURT;1963.0
Ülkü Gökalp GÜNEY;23;AK PARTÝ;BAYBURT;1935.0
Fahrettin POYRAZ;23;AK PARTÝ;BÝLECÝK;1968.0
Yaþar TÜZÜN;23;CHP;BÝLECÝK;1966
Cevdet YILMAZ;23;AK PARTÝ;BÝNGÖL;1967.0
Kazim ATAOÐLU;23;AK PARTÝ;BÝNGÖL;1952.0
Yusuf COÞKUN;23;AK PARTÝ;BÝNGÖL;1965
Cemal TAÞAR;23;AK PARTÝ;BÝTLÝS;1963.0
Mehmet Nezir KARABAÞ;23;BDP;BÝTLÝS;1960.0
Vahit KÝLER;23;AK PARTÝ;BÝTLÝS;1966.0
Zeki ERGEZEN;23;AK PARTÝ;BÝTLÝS;1949.0
Fatih METÝN;23;AK PARTÝ;BOLU;1973.0
Metin YILMAZ;23;AK PARTÝ;BOLU;1968
Yüksel COÞKUNYÜREK;23;AK PARTÝ;BOLU;1965.0
Bayram ÖZÇELÝK;23;AK PARTÝ;BURDUR;1966
Mehmet ALP;23;AK PARTÝ;BURDUR;1953.0
Ramazan Kerim ÖZKAN;23;CHP;BURDUR;1958.0
Abdullah ÖZER;23;CHP;BURSA;1950.0
Ali KOYUNCU;23;AK PARTÝ;BURSA;1968.0
Ali KUL;23;AK PARTÝ;BURSA;1955.0
Canan CANDEMÝR ÇELÝK;23;AK PARTÝ;BURSA;1974.0
Faruk ÇELÝK;23;AK PARTÝ;BURSA;1956.0
Hamza Hamit HOMRÝÞ;23;MHP;BURSA;1944
Hayrettin ÇAKMAK;23;AK PARTÝ;BURSA;1957.0
Ýsmet BÜYÜKATAMAN;23;MHP;BURSA;1953.0
Kemal DEMÝREL;23;CHP;BURSA;1955
Mehmet TUNÇAK;23;AK PARTÝ;BURSA;1969.0
Mehmet OCAKDEN;23;AK PARTÝ;BURSA;1955
Mehmet Altan KARAPAÞAOÐLU;23;AK PARTÝ;BURSA;1940
Mehmet Emin TUTAN;23;AK PARTÝ;BURSA;1959
Necati ÖZENSOY;23;MHP;BURSA;1961.0
Onur Baþaran ÖYMEN;23;CHP;BURSA;1940
Sedat KIZILCIKLI;23;AK PARTÝ;BURSA;1967
Ahmet KÜÇÜK;23;CHP;ÇANAKKALE;1958
Mehmet DANÝÞ;23;AK PARTÝ;ÇANAKKALE;1971.0
Mustafa Kemal CENGÝZ;23;MHP;ÇANAKKALE;1964.0
Müjdat KUÞKU;23;AK PARTÝ;ÇANAKKALE;1958.0
Ahmet BUKAN;23;MHP;ÇANKIRI;1952
Nurettin AKMAN;23;AK PARTÝ;ÇANKIRI;1951.0
Suat KINIKLIOÐLU;23;AK PARTÝ;ÇANKIRI;1965.0
Aðah KAFKAS;23;AK PARTÝ;ÇORUM;1956.0
Ahmet AYDOÐMUÞ;23;AK PARTÝ;ÇORUM;1970.0
Cahit BAÐCI;23;AK PARTÝ;ÇORUM;1964.0
Derviþ GÜNDAY;23;CHP;ÇORUM;1941
Murat YILDIRIM;23;AK PARTÝ;ÇORUM;1958.0
Ali Rýza ERTEMÜR;23;CHP;DENÝZLÝ;1962.0
Emin Haluk AYHAN;23;MHP;DENÝZLÝ;1957.0
Hasan ERÇELEBÝ;23;DSP;DENÝZLÝ;1955
Mehmet YÜKSEL;23;AK PARTÝ;DENÝZLÝ;1955.0
Mehmet Salih ERDOÐAN;23;AK PARTÝ;DENÝZLÝ;1947
Mithat EKÝCÝ;23;AK PARTÝ;DENÝZLÝ;1955.0
Selma Aliye KAVAF;23;AK PARTÝ;DENÝZLÝ;1962.0
Abdurrahman KURT;23;AK PARTÝ;DÝYARBAKIR;1968.0
Akýn BÝRDAL;23;BAÐIMSIZ;DÝYARBAKIR;1948.0
Ali Ýhsan MERDANOÐLU;23;AK PARTÝ;DÝYARBAKIR;1963.0
Aysel TUÐLUK;23;BAÐIMSIZ;DÝYARBAKIR;1965.0
Gültan KIÞANAK;23;BAÐIMSIZ;DÝYARBAKIR;1961.0
Kutbettin ARZU;23;AK PARTÝ;DÝYARBAKIR;1955.0
M. Ýhsan ARSLAN;23;AK PARTÝ;DÝYARBAKIR;1948
Mehmet Mehdi EKER;23;AK PARTÝ;DÝYARBAKIR;1956.0
Osman ASLAN;23;AK PARTÝ;DÝYARBAKIR;1954.0
