NAME;TERM;PARTY;CITY;KANUN_TEKLIF_ILK;KANUN_TEKLIF;SORU_ONERGELERI_YAZILI;SORU_ONERGELERI_SOZLU;GENEL_GORUSME_ILK;GENEL_GORUSME;MEC_SORUSTURMA_ILK;MEC_SORUSTURMA;MEC_ARASTIRMA_ILK;MEC_ARASTIRMA;GENSORU_ILK;GENSORU;AGE
Abdulmuttalip ÖZBEK;23;AK PARTİ;HAKKARİ;1;5;0;0;0;0;0;0;0;3;0;0;44.0
Hamit GEYLANİ;23;BDP;HAKKARİ;7;12;57;3;1;1;0;0;9;223;0;0;60.0
Rüstem ZEYDAN;23;AK PARTİ;HAKKARİ;2;6;0;0;0;0;0;0;0;7;0;0;51.0
Abdulaziz YAZAR;23;CHP;HATAY;1;30;17;0;0;0;0;3;0;180;0;0;56.0
Abdülhadi KAHYA;23;AK PARTİ;HATAY;0;7;0;0;0;0;0;0;0;1;0;0;38.0
Fevzi ŞANVERDİ;23;AK PARTİ;HATAY;0;3;0;0;0;0;0;0;0;6;0;0;44.0
Fuat ÇAY;23;CHP;HATAY;2;11;12;0;0;0;0;0;2;35;0;0;58.0
Gökhan DURGUN;23;CHP;HATAY;0;30;21;0;0;0;0;0;1;153;0;0;50.0
İzzettin YILMAZ;23;MHP;HATAY;0;9;30;0;1;1;0;0;1;52;0;0;40.0
Mustafa ÖZTÜRK;23;AK PARTİ;HATAY;1;5;1;0;0;0;0;0;0;1;0;0;42.0
Orhan KARASAYAR;23;AK PARTİ;HATAY;0;6;0;0;0;0;0;0;0;4;0;0;42.0
Sadullah ERGİN;23;AK PARTİ;HATAY;3;5;0;0;0;0;0;0;0;3;0;0;43.0
Süleyman Turan ÇİRKİN;23;MHP;HATAY;3;15;256;0;0;0;0;0;2;69;0;0;58.0
Ali GÜNER;23;AK PARTİ;IĞDIR;1;5;0;0;0;0;0;0;0;9;0;0;52.0
Pervin BULDAN;23;BAĞIMSIZ;IĞDIR;1;6;48;2;1;1;0;0;6;241;0;0;40.0
Haydar Kemal KURT;23;AK PARTİ;ISPARTA;0;3;0;0;0;0;0;0;1;6;0;0;44.0
Mehmet Sait DİLEK;23;AK PARTİ;ISPARTA;0;5;0;0;0;0;0;0;0;2;0;0;41.0
Mevlüt COŞKUNER;23;CHP;ISPARTA;0;42;62;0;3;3;0;2;2;385;0;0;62.0
Süleyman Nevzat KORKMAZ;23;MHP;ISPARTA;0;18;65;0;2;2;0;0;2;118;0;2;42.0
Süreyya Sadi BİLGİÇ;23;AK PARTİ;ISPARTA;1;5;0;0;0;0;0;0;0;1;0;0;46.0
Abdülkadir AKSU;23;AK PARTİ;İSTANBUL;0;5;0;0;0;0;0;0;0;7;0;0;63.0
Ahmet TAN;23;CHP;İSTANBUL;0;1;37;0;0;0;0;1;1;11;0;0;58.0
Alaattin BÜYÜKKAYA;23;AK PARTİ;İSTANBUL;0;6;0;0;0;0;0;0;0;0;0;0;57.0
Alev DEDEGİL;23;AK PARTİ;İSTANBUL;2;8;0;0;0;0;0;0;1;7;0;0;49.0
Algan HACALOĞLU;23;CHP;İSTANBUL;2;6;14;0;1;1;0;2;1;83;0;0;67.0
Ali TOPUZ;23;CHP;İSTANBUL;2;5;1;0;0;0;0;1;0;9;0;0;75.0
Atila KAYA;23;MHP;İSTANBUL;2;11;48;0;0;0;0;0;1;59;0;0;50.0
Ayşe Jale AĞIRBAŞ;23;DSP;İSTANBUL;16;27;225;0;0;0;0;0;1;4;0;0;39.0
Ayşe Nur BAHÇEKAPILI;23;AK PARTİ;İSTANBUL;3;9;0;0;0;0;0;0;0;3;0;0;53.0
Bayramali MERAL;23;CHP;İSTANBUL;2;10;15;0;2;2;0;2;1;47;0;0;66.0
Bihlun TAMAYLIGİL;23;CHP;İSTANBUL;0;7;25;0;1;1;0;2;0;28;0;0;41.0
Birgen KELEŞ;23;CHP;İSTANBUL;3;13;4;0;1;1;0;2;2;131;0;0;68.0
Burhan KUZU;23;AK PARTİ;İSTANBUL;0;1;0;0;0;0;0;0;0;3;0;0;52.0
Canan KALSIN;23;AK PARTİ;İSTANBUL;0;5;0;0;0;0;0;0;0;2;0;0;40.0
Çetin SOYSAL;23;CHP;İSTANBUL;1;15;279;0;0;0;0;1;40;151;0;0;44.0
Durmuşali TORLAK;23;MHP;İSTANBUL;2;26;49;0;3;3;0;0;6;158;0;2;45.0
Edibe SÖZEN;23;AK PARTİ;İSTANBUL;0;5;0;0;0;0;0;0;0;4;0;0;46.0
Egemen BAĞIŞ;23;AK PARTİ;İSTANBUL;0;3;0;0;0;0;0;0;0;1;0;0;37.0
Ertuğrul GÜNAY;23;AK PARTİ;İSTANBUL;0;2;0;0;0;0;0;0;0;0;0;0;59.0
Esfender KORKMAZ;23;CHP;İSTANBUL;5;16;3;0;0;0;0;2;1;36;0;0;67.0
Fatma Nur SERTER;23;CHP;İSTANBUL;2;15;17;1;1;1;0;2;1;69;0;0;59.0
Feyzullah KIYIKLIK;23;AK PARTİ;İSTANBUL;0;7;1;0;0;0;0;0;0;1;0;0;58.0
Fuat BOL;23;AK PARTİ;İSTANBUL;0;4;0;0;0;0;0;0;0;2;0;0;52.0
Güldal AKŞİT;23;AK PARTİ;İSTANBUL;0;7;0;0;0;0;0;0;0;4;0;0;47.0
Gündüz Suphi AKTAN;23;MHP;İSTANBUL;0;1;0;0;0;0;0;0;0;7;0;0;66.0
Halide İNCEKARA;23;AK PARTİ;İSTANBUL;0;8;1;0;0;0;0;0;1;4;0;0;48.0
Hasan MACİT;23;DSP;İSTANBUL;8;25;142;0;0;0;0;0;2;4;0;0;54.0
Hasan Kemal YARDIMCI;23;AK PARTİ;İSTANBUL;5;8;0;0;0;0;0;0;1;2;0;0;57.0
Hayati YAZICI;23;AK PARTİ;İSTANBUL;0;2;0;0;0;0;0;0;0;0;0;0;55.0
Hüseyin MERT;23;DSP;İSTANBUL;3;20;45;0;0;0;0;0;0;4;0;0;46.0
Hüseyin BESLİ;23;AK PARTİ;İSTANBUL;0;4;0;0;0;0;0;0;0;1;0;0;54.0
İbrahim YİĞİT;23;AK PARTİ;İSTANBUL;1;5;0;0;0;0;0;0;0;8;0;0;60.0
İdris GÜLLÜCE;23;AK PARTİ;İSTANBUL;0;8;0;0;0;0;0;0;0;2;0;0;57.0
İdris Naim ŞAHİN;23;AK PARTİ;İSTANBUL;0;2;0;0;0;0;0;0;0;0;0;0;51.0
İlhan KESİCİ;23;BAĞIMSIZ;İSTANBUL;0;1;0;0;0;0;0;2;0;16;0;0;59.0
İrfan GÜNDÜZ;23;AK PARTİ;İSTANBUL;0;4;0;0;0;0;0;0;0;1;0;0;57.0
Kemal KILIÇDAROĞLU;23;CHP;İSTANBUL;4;7;81;0;5;5;1;1;4;18;2;7;59.0
Lokman AYVA;23;AK PARTİ;İSTANBUL;2;6;6;0;0;0;0;0;0;1;0;0;41.0
Mehmet MÜEZZİNOĞLU;23;AK PARTİ;İSTANBUL;0;2;0;0;0;0;0;0;0;4;0;0;52.0
Mehmet SEKMEN;23;AK PARTİ;İSTANBUL;0;7;0;0;0;0;0;0;0;2;0;0;49.0
Mehmet SEVİGEN;23;CHP;İSTANBUL;11;13;80;0;1;1;1;2;7;39;0;0;53.0
Mehmet DOMAÇ;23;AK PARTİ;İSTANBUL;1;5;0;0;0;0;0;0;0;3;0;0;57.0
Mehmet Ali ÖZPOLAT;23;CHP;İSTANBUL;0;42;7;0;2;2;0;2;0;397;0;0;60.0
Mehmet Beyazıt DENİZOLGUN;23;AK PARTİ;İSTANBUL;0;5;0;0;0;0;0;0;0;3;0;0;53.0
Mehmet Cihat ÖZÖNDER;23;MHP;İSTANBUL;0;0;0;0;0;0;0;0;0;0;0;0;60.0
Mehmet Ufuk URAS;23;BDP;İSTANBUL;3;3;49;3;0;0;0;0;2;212;0;0;48.0
Meral AKŞENER;23;MHP;İSTANBUL;0;4;1;0;0;0;0;0;0;5;0;0;51.0
Mesude Nursuna MEMECAN;23;AK PARTİ;İSTANBUL;1;6;0;0;0;0;0;0;0;0;0;0;50.0
Mithat MELEN;23;MHP;İSTANBUL;0;10;1;0;1;1;0;0;5;92;0;0;60.0
Murat BAŞESGİOĞLU;23;MHP;İSTANBUL;0;1;0;0;0;0;0;0;0;0;0;0;52.0
Mustafa ATAŞ;23;AK PARTİ;İSTANBUL;0;6;0;0;0;0;0;0;0;9;0;0;50.0
Mustafa ÖZYÜREK;23;CHP;İSTANBUL;2;7;59;0;1;1;0;3;1;49;0;0;68.0
Mustafa Şükrü ELEKDAĞ;23;CHP;İSTANBUL;0;2;4;0;0;0;0;3;2;10;0;0;83.0
Nazım EKREN;23;AK PARTİ;İSTANBUL;0;4;0;0;0;0;0;0;0;0;0;0;51.0
Necat BİRİNCİ;23;AK PARTİ;İSTANBUL;0;4;0;0;0;0;0;0;0;1;0;0;64.0
Necla ARAT;23;CHP;İSTANBUL;0;15;22;6;1;1;0;1;0;69;0;0;67.0
Nimet BAŞ;23;AK PARTİ;İSTANBUL;1;3;0;0;0;0;0;0;0;0;0;0;42.0
Nusret BAYRAKTAR;23;AK PARTİ;İSTANBUL;3;7;0;0;0;0;0;0;1;4;0;0;56.0
Osman Gazi YAĞMURDERELİ;23;AK PARTİ;İSTANBUL;0;2;0;0;0;0;0;0;0;3;0;0;54.0
Ömer DİNÇER;23;AK PARTİ;İSTANBUL;0;3;0;0;0;0;0;0;0;2;0;0;51.0
Özlem ÖZTELCAN;23;AK PARTİ;İSTANBUL;0;5;0;0;0;0;0;0;0;5;0;0;31.0
Recep KORAL;23;AK PARTİ;İSTANBUL;0;1;0;0;0;0;0;0;0;2;0;0;59.0
Recep Tayyip ERDOĞAN;23;AK PARTİ;İSTANBUL;2;2;0;0;0;0;0;0;0;0;0;0;53.0
Reha ÇAMUROĞLU;23;AK PARTİ;İSTANBUL;0;2;0;0;0;0;0;0;0;1;0;0;49.0
Sacid YILDIZ;23;CHP;İSTANBUL;5;45;202;10;2;2;0;2;17;281;0;0;59.0
Sebahat TUNCEL;23;BAĞIMSIZ;İSTANBUL;17;22;127;5;1;1;0;0;18;240;0;0;32.0
Süleyman YAĞIZ;23;DSP;İSTANBUL;0;13;176;0;0;0;0;0;0;2;0;0;57.0
Şinasi ÖKTEM;23;CHP;İSTANBUL;1;2;4;0;0;0;0;1;0;3;0;0;52.0
Ümit ŞAFAK;23;MHP;İSTANBUL;1;9;31;0;0;0;0;0;1;49;0;0;52.0
Ünal KACIR;23;AK PARTİ;İSTANBUL;0;4;0;0;0;0;0;0;0;2;0;0;54.0
Abdurrezzak ERTEN;23;CHP;İZMİR;1;22;44;0;0;0;0;1;0;43;0;0;54.0
Ahmet ERSİN;23;CHP;İZMİR;7;45;281;2;1;1;0;3;9;201;0;0;57.0
Ahmet Kenan TANRIKULU;23;MHP;İZMİR;4;17;69;2;0;0;0;0;4;123;0;2;49.0
Bülent BARATALI;23;CHP;İZMİR;36;75;295;0;1;1;0;3;4;130;0;0;60.0
Cânân ARİTMAN;23;CHP;İZMİR;6;23;71;0;2;2;0;1;7;101;0;0;57.0
Erdal KALKAN;23;AK PARTİ;İZMİR;0;4;1;0;1;1;0;0;0;1;0;0;61.0
Fatma Seniha Nükhet HOTAR;23;AK PARTİ;İZMİR;1;8;0;0;0;0;0;0;0;2;0;0;46.0
Harun ÖZTÜRK;23;CHP;İZMİR;1;6;15;0;0;0;0;0;0;22;0;0;54.0
İbrahim HASGÜR;23;AK PARTİ;İZMİR;0;3;0;0;0;0;0;0;0;3;0;0;54.0
İsmail KATMERCİ;23;AK PARTİ;İZMİR;0;4;0;0;0;0;0;0;0;2;0;0;58.0
Kamil Erdal SİPAHİ;23;MHP;İZMİR;9;40;159;8;3;3;0;0;4;204;0;1;59.0
Kıvılcım Kemal ANADOL;23;CHP;İZMİR;5;5;118;0;2;2;0;1;4;8;2;8;66.0
Mehmet AYDIN;23;AK PARTİ;İZMİR;0;3;0;0;0;0;0;0;0;0;0;0;64.0
Mehmet Ali SUSAM;23;CHP;İZMİR;5;25;35;0;2;2;0;3;1;97;0;0;51.0
Mehmet Sayım TEKELİOĞLU;23;AK PARTİ;İZMİR;1;4;0;0;0;0;0;0;0;8;0;0;57.0
Mehmet Vecdi GÖNÜL;23;AK PARTİ;İZMİR;0;3;0;0;0;0;0;0;0;0;0;0;68.0
Oğuz OYAN;23;CHP;İZMİR;9;10;19;0;1;1;0;1;0;15;0;0;60.0
Oktay VURAL;23;MHP;İZMİR;50;72;115;0;13;13;0;0;11;185;2;3;51.0
Recai BİRGÜN;23;BAĞIMSIZ;İZMİR;0;7;57;0;0;0;0;0;0;4;0;0;41.0
Selçuk AYHAN;23;CHP;İZMİR;4;30;157;0;0;0;0;3;7;114;0;0;54.0
Şenol SUNAT;23;MHP;İZMİR;2;20;48;4;1;1;0;0;6;128;0;1;51.0
Şükran Güldal MUMCU;23;CHP;İZMİR;0;2;0;0;1;1;0;0;0;3;0;0;56.0
Taha AKSOY;23;AK PARTİ;İZMİR;0;4;0;0;0;0;0;0;0;6;0;0;60.0
Tuğrul YEMİŞCİ;23;AK PARTİ;İZMİR;0;5;0;0;0;0;0;0;0;5;0;0;63.0
Avni DOĞAN;23;AK PARTİ;KAHRAMANMARAŞ;0;3;0;0;0;0;0;0;0;5;0;0;56.0
Cafer TATLIBAL;23;AK PARTİ;KAHRAMANMARAŞ;0;4;0;0;0;0;0;0;0;6;0;0;62.0
Durdu ÖZBOLAT;23;CHP;KAHRAMANMARAŞ;9;40;107;0;2;2;0;2;5;273;0;0;45.0
Fatih ARIKAN;23;AK PARTİ;KAHRAMANMARAŞ;1;6;0;0;0;0;0;0;0;2;0;0;54.0
Mehmet SAĞLAM;23;AK PARTİ;KAHRAMANMARAŞ;0;3;0;0;0;0;0;0;0;2;0;0;69.0
Mehmet Akif PAKSOY;23;MHP;KAHRAMANMARAŞ;5;24;175;60;2;2;0;0;8;159;0;2;51.0
Nevzat PAKDİL;23;AK PARTİ;KAHRAMANMARAŞ;0;2;0;0;0;0;0;0;0;0;0;0;57.0
Veysi KAYNAK;23;AK PARTİ;KAHRAMANMARAŞ;16;28;0;0;0;0;0;0;1;9;0;0;45.0
Cumhur ÜNAL;23;AK PARTİ;KARABÜK;0;5;0;0;0;0;0;0;0;3;0;0;41.0
Mehmet CEYLAN;23;AK PARTİ;KARABÜK;0;3;0;0;0;0;0;0;0;2;0;0;49.0
Mustafa ÜNAL;23;AK PARTİ;KARABÜK;0;3;0;0;0;0;0;0;0;1;0;0;59.0
Hasan ÇALIŞ;23;MHP;KARAMAN;10;46;17;205;0;0;0;0;13;198;0;1;51.0
Lütfi ELVAN;23;AK PARTİ;KARAMAN;0;3;0;0;0;0;0;0;0;4;0;0;45.0
Mevlüt AKGÜN;23;AK PARTİ;KARAMAN;1;4;5;0;0;0;0;0;1;4;0;0;41.0
Gürcan DAĞDAŞ;23;MHP;KARS;1;14;119;0;0;0;0;0;1;61;0;0;47.0
Mahmut Esat GÜVEN;23;AK PARTİ;KARS;0;3;0;0;0;0;0;0;1;3;0;0;54.0
Zeki KARABAYIR;23;AK PARTİ;KARS;3;11;3;0;0;0;0;0;0;4;0;0;55.0
Hakkı KÖYLÜ;23;AK PARTİ;KASTAMONU;2;4;0;0;0;0;0;0;0;6;0;0;59.0
Hasan ALTAN;23;AK PARTİ;KASTAMONU;1;6;0;0;0;0;0;0;0;2;0;0;59.0
Mehmet SERDAROĞLU;23;MHP;KASTAMONU;31;42;65;31;2;2;0;0;22;93;0;2;60.0
Musa SIVACIOĞLU;23;AK PARTİ;KASTAMONU;0;3;1;0;0;0;0;0;1;4;0;0;52.0
Abdullah GÜL;23;AK PARTİ;KAYSERİ;0;0;0;0;0;0;0;0;0;0;0;0;57.0
Ahmet ÖKSÜZKAYA;23;AK PARTİ;KAYSERİ;0;4;0;0;0;0;0;0;0;2;0;0;47.0
Mehmet Şevki KULKULOĞLU;23;CHP;KAYSERİ;1;10;107;0;0;0;0;2;7;108;0;0;42.0
Mustafa ELİTAŞ;23;AK PARTİ;KAYSERİ;12;14;0;0;0;0;0;0;1;4;0;0;50.0
Sabahattin ÇAKMAKOĞLU;23;MHP;KAYSERİ;0;6;10;0;1;1;0;0;0;116;0;0;77.0
Sadık YAKUT;23;AK PARTİ;KAYSERİ;0;2;0;0;0;0;0;0;0;3;0;0;51.0
Taner YILDIZ;23;AK PARTİ;KAYSERİ;0;3;0;0;1;1;0;0;0;5;0;0;45.0
Yaşar KARAYEL;23;AK PARTİ;KAYSERİ;0;6;0;0;0;0;0;0;0;4;0;0;57.0
Mustafa ÖZBAYRAK;23;AK PARTİ;KIRIKKALE;1;5;0;0;0;0;0;0;0;1;0;0;47.0
Osman DURMUŞ;23;MHP;KIRIKKALE;1;25;6;0;2;2;0;0;2;151;0;0;60.0
Turan KIRATLI;23;AK PARTİ;KIRIKKALE;0;3;0;0;0;0;0;0;0;2;0;0;55.0
Vahit ERDEM;23;AK PARTİ;KIRIKKALE;0;1;0;0;1;1;0;0;0;0;0;0;63.0
Ahmet Gökhan SARIÇAM;23;AK PARTİ;KIRKLARELİ;0;4;0;0;0;0;0;0;2;6;0;0;38.0
Tansel BARIŞ;23;CHP;KIRKLARELİ;4;20;119;2;1;1;0;3;8;129;0;0;55.0
Turgut DİBEK;23;CHP;KIRKLARELİ;1;28;218;0;2;2;0;3;15;168;0;0;41.0
Abdullah ÇALIŞKAN;23;AK PARTİ;KIRŞEHİR;2;12;0;0;0;0;0;0;0;7;0;0;33.0
Metin ÇOBANOĞLU;23;MHP;KIRŞEHİR;1;14;7;0;0;0;0;0;0;71;0;0;49.0
Mikail ARSLAN;23;AK PARTİ;KIRŞEHİR;1;5;0;0;0;0;0;0;0;4;0;0;46.0
Hasan KARA;23;AK PARTİ;KİLİS;1;4;0;0;0;0;0;0;0;5;0;0;38.0
Hüseyin DEVECİOĞLU;23;AK PARTİ;KİLİS;0;6;0;0;0;0;0;0;0;6;0;0;44.0
Azize Sibel GÖNÜL;23;AK PARTİ;KOCAELİ;1;10;0;0;1;1;0;0;0;7;0;0;41.0
Cumali DURMUŞ;23;MHP;KOCAELİ;1;8;2;0;0;0;0;0;0;64;0;1;45.0
Eyüp AYAR;23;AK PARTİ;KOCAELİ;3;7;0;0;0;0;0;0;0;2;0;0;55.0
Fikri IŞIK;23;AK PARTİ;KOCAELİ;0;5;0;0;0;0;0;0;0;7;0;0;42.0
Hikmet ERENKAYA;23;CHP;KOCAELİ;0;9;40;0;2;2;0;3;2;75;0;0;54.0
Mehmet Cevdet SELVİ;23;CHP;KOCAELİ;0;2;43;0;1;1;0;3;4;18;0;0;64.0
Muzaffer BAŞTOPÇU;23;AK PARTİ;KOCAELİ;0;7;3;0;0;0;0;0;1;2;0;0;59.0
Nihat ERGÜN;23;AK PARTİ;KOCAELİ;3;5;0;0;0;0;0;0;2;4;0;0;45.0
Osman PEPE;23;AK PARTİ;KOCAELİ;0;3;0;0;0;0;0;0;0;2;0;0;53.0
Abdullah ÇETİNKAYA;23;AK PARTİ;KONYA;0;4;0;0;0;0;0;0;0;9;0;0;50.0
Ahmet BÜYÜKAKKAŞLAR;23;AK PARTİ;KONYA;0;5;0;0;0;0;0;0;0;3;0;0;55.0
Ali ÖZTÜRK;23;AK PARTİ;KONYA;0;6;0;0;0;0;0;0;1;10;0;0;51.0
Atilla KART;23;CHP;KONYA;1;22;331;0;1;1;0;2;1;71;0;0;53.0
Ayşe TÜRKMENOĞLU;23;AK PARTİ;KONYA;1;9;0;0;0;0;0;0;0;7;0;0;42.0
Faruk BAL;23;MHP;KONYA;0;4;0;0;2;2;0;0;0;26;0;0;57.0
Harun TÜFEKCİ;23;AK PARTİ;KONYA;0;4;0;0;0;0;0;0;0;9;0;0;36.0
Hasan ANGI;23;AK PARTİ;KONYA;3;8;0;0;0;0;0;0;1;6;0;0;48.0
Hüsnü TUNA;23;AK PARTİ;KONYA;0;5;0;0;0;0;0;0;0;4;0;0;55.0
Kerim ÖZKUL;23;AK PARTİ;KONYA;3;9;0;0;0;0;0;0;0;5;0;0;48.0
Muharrem CANDAN;23;AK PARTİ;KONYA;0;5;0;0;0;0;0;0;0;5;0;0;51.0
Mustafa KALAYCI;23;MHP;KONYA;14;29;66;0;2;2;0;0;0;134;0;1;47.0
Mustafa KABAKCI;23;AK PARTİ;KONYA;0;4;0;0;0;0;0;0;0;5;0;0;53.0
Orhan ERDEM;23;AK PARTİ;KONYA;1;7;0;0;0;0;0;0;1;5;0;0;44.0
Özkan ÖKSÜZ;23;AK PARTİ;KONYA;1;5;1;0;0;0;0;0;1;6;0;0;54.0
Sami GÜÇLÜ;23;AK PARTİ;KONYA;0;4;0;0;0;0;0;0;0;4;0;0;57.0
Alim IŞIK;23;MHP;KÜTAHYA;2;38;841;115;3;3;0;0;16;175;0;2;48.0
Hasan Fehmi KİNAY;23;AK PARTİ;KÜTAHYA;0;5;0;0;0;0;0;0;0;3;0;0;43.0
Hüseyin TUĞCU;23;AK PARTİ;KÜTAHYA;0;4;0;0;0;0;0;0;0;0;0;0;53.0
Hüsnü ORDU;23;AK PARTİ;KÜTAHYA;0;4;0;0;0;0;0;0;0;8;0;0;54.0
İsmail Hakkı BİÇER;23;AK PARTİ;KÜTAHYA;0;4;0;0;0;0;0;0;0;3;0;0;55.0
Soner AKSOY;23;AK PARTİ;KÜTAHYA;2;5;0;0;0;0;0;0;0;1;0;0;66.0
Ferit Mevlüt ASLANOĞLU;23;CHP;MALATYA;28;43;5;90;3;3;0;3;11;127;0;0;55.0
Fuat ÖLMEZTOPRAK;23;AK PARTİ;MALATYA;0;4;0;0;0;0;0;0;0;1;0;0;57.0
İhsan KOCA;23;AK PARTİ;MALATYA;0;7;0;0;0;0;0;0;0;4;0;0;41.0
Mahmut Mücahit FINDIKLI;23;AK PARTİ;MALATYA;1;6;0;0;0;0;0;0;0;5;0;0;50.0
Mehmet ŞAHİN;23;AK PARTİ;MALATYA;0;6;0;0;0;0;0;0;1;4;0;0;51.0
Ömer Faruk ÖZ;23;AK PARTİ;MALATYA;1;9;0;0;0;0;0;0;0;2;0;0;41.0
Öznur ÇALIK;23;AK PARTİ;MALATYA;1;9;0;0;0;0;0;0;0;5;0;0;42.0
Ahmet ORHAN;23;MHP;MANİSA;0;18;78;1;0;0;0;0;7;131;0;0;51.0
Bülent ARINÇ;23;AK PARTİ;MANİSA;2;4;0;0;0;0;0;0;0;0;0;0;59.0
Erkan AKÇAY;23;MHP;MANİSA;3;21;234;6;1;1;0;0;4;131;0;0;46.0
Hüseyin TANRIVERDİ;23;AK PARTİ;MANİSA;0;5;0;0;0;0;0;0;0;2;0;0;51.0
İsmail BİLEN;23;AK PARTİ;MANİSA;1;7;0;0;1;1;0;0;0;13;0;0;46.0
Mehmet ÇERÇİ;23;AK PARTİ;MANİSA;0;3;0;0;0;0;0;0;0;6;0;0;47.0
Mustafa ENÖZ;23;MHP;MANİSA;0;26;66;61;2;2;0;0;5;171;0;0;50.0
Mustafa Erdoğan YETENÇ;23;CHP;MANİSA;0;1;0;0;0;0;0;0;0;0;0;0;61.0
Recai BERBER;23;AK PARTİ;MANİSA;1;4;0;0;0;0;0;0;0;4;0;0;48.0
Şahin MENGÜ;23;CHP;MANİSA;7;17;61;0;1;1;0;2;1;69;0;0;59.0
Ahmet TÜRK;23;BAĞIMSIZ;MARDİN;1;5;0;0;1;1;0;0;0;31;0;0;65.0
Cüneyt YÜKSEL;23;AK PARTİ;MARDİN;0;4;0;0;0;0;0;0;0;2;0;0;37.0
Emine AYNA;23;BAĞIMSIZ;MARDİN;0;5;6;0;1;1;0;0;24;241;0;0;39.0
Gönül BEKİN ŞAHKULUBEY;23;AK PARTİ;MARDİN;0;7;0;0;0;0;0;0;0;2;0;0;37.0
Mehmet Halit DEMİR;23;AK PARTİ;MARDİN;0;6;0;0;0;0;0;0;0;2;0;0;37.0
Süleyman ÇELEBİ;23;AK PARTİ;MARDİN;0;5;1;0;0;0;0;0;0;0;0;0;63.0
Akif AKKUŞ;23;MHP;MERSİN;3;27;48;22;2;2;0;0;2;204;0;2;59.0
Ali ER;23;AK PARTİ;MERSİN;0;4;0;0;0;0;0;0;0;2;0;0;58.0
Ali OKSAL;23;CHP;MERSİN;2;22;5;0;1;1;0;3;0;122;0;0;56.0
Ali Rıza ÖZTÜRK;23;CHP;MERSİN;8;41;379;0;2;2;0;1;19;289;0;0;51.0
Behiç ÇELİK;23;MHP;MERSİN;3;18;135;4;2;2;0;0;2;126;0;2;52.0
İsa GÖK;23;CHP;MERSİN;5;40;111;9;1;1;0;2;2;181;0;0;44.0
Kadir URAL;23;MHP;MERSİN;2;20;35;1;0;0;0;0;1;92;0;1;39.0
Kürşad TÜZMEN;23;AK PARTİ;MERSİN;0;3;0;0;0;0;0;0;0;0;0;0;49.0
Mehmet ŞANDIR;23;MHP;MERSİN;47;85;230;0;13;13;0;0;18;222;1;3;60.0
Mehmet Zafer ÜSKÜL;23;AK PARTİ;MERSİN;2;5;0;0;0;0;0;0;0;1;0;0;63.0
Ömer İNAN;23;AK PARTİ;MERSİN;0;5;0;0;0;0;0;0;0;4;0;0;56.0
Vahap SEÇER;23;CHP;MERSİN;0;31;21;0;0;0;0;1;2;125;0;0;44.0
Ali ARSLAN;23;CHP;MUĞLA;0;6;128;0;1;1;0;2;5;118;0;0;52.0
Fevzi TOPUZ;23;CHP;MUĞLA;5;22;223;0;1;1;0;3;7;150;0;0;53.0
Gürol ERGİN;23;CHP;MUĞLA;4;34;40;0;3;3;0;1;2;223;0;0;63.0
Mehmet Nil HIDIR;23;AK PARTİ;MUĞLA;1;8;0;0;0;0;0;0;0;7;0;0;51.0
Metin ERGUN;23;MHP;MUĞLA;2;9;137;3;2;2;0;0;2;79;0;1;44.0
Yüksel ÖZDEN;23;AK PARTİ;MUĞLA;1;6;0;0;0;0;0;0;0;0;0;0;44.0
M. Nuri YAMAN;23;BDP;MUŞ;1;6;81;0;1;1;0;0;30;240;0;0;63.0
Medeni YILMAZ;23;AK PARTİ;MUŞ;0;7;0;0;0;0;0;0;0;4;0;0;53.0
Seracettin KARAYAĞIZ;23;AK PARTİ;MUŞ;0;5;0;0;0;0;0;0;0;4;0;0;52.0
Sırrı SAKİK;23;BAĞIMSIZ;MUŞ;2;9;26;1;1;1;0;0;2;240;0;0;50.0
Ahmet Erdal FERALAN;23;AK PARTİ;NEVŞEHİR;0;4;0;0;0;0;0;0;0;5;0;0;45.0
Mahmut DEDE;23;AK PARTİ;NEVŞEHİR;0;6;0;0;0;0;0;0;0;8;0;0;46.0
Rıtvan KÖYBAŞI;23;AK PARTİ;NEVŞEHİR;0;4;0;0;0;0;0;0;0;4;0;0;42.0
İsmail GÖKSEL;23;AK PARTİ;NİĞDE;1;7;0;0;0;0;0;0;0;1;0;0;55.0
Muharrem SELAMOĞLU;23;AK PARTİ;NİĞDE;0;4;0;0;0;0;0;0;0;1;0;0;57.0
Mümin İNAN;23;MHP;NİĞDE;3;25;45;92;2;2;0;0;18;139;0;1;49.0
Ayhan YILMAZ;23;AK PARTİ;ORDU;0;4;0;0;0;0;0;0;0;2;0;0;46.0
Enver YILMAZ;23;AK PARTİ;ORDU;0;4;0;0;0;0;0;0;0;8;0;0;37.0
Eyüp FATSA;23;AK PARTİ;ORDU;0;3;0;0;0;0;0;0;0;1;0;0;46.0
Mehmet Hilmi GÜLER;23;AK PARTİ;ORDU;0;3;1;0;0;0;0;0;0;0;0;0;58.0
Mustafa HAMARAT;23;AK PARTİ;ORDU;0;7;0;0;0;0;0;0;0;4;0;0;35.0
Rahmi GÜNER;23;CHP;ORDU;2;14;44;1;1;1;0;2;2;172;0;0;62.0
Rıdvan YALÇIN;23;MHP;ORDU;5;19;47;48;1;1;0;0;3;134;0;1;35.0
